Season 9,Season 10,Season 11,Season 12,Season 13,Season 14,Season 15,Season 16
The Gang Broke Dee,The Gang Beats Boggs,Chardee MacDennis 2: Electric Boogaloo,The Gang Turns Black,The Gang Makes Paddy's Great Again,The Gang Gets Romantic,2020: A Year In Review,The Gang Inflates
Gun Fever Too: Still Hot,The Gang Group Dates,Frank Falls Out the Window,The Gang Goes to a Water Park,The Gang Escapes,Thunder Gun 4: Maximum Cool,The Gang Makes Lethal Weapon 7,Frank Shoots Every Member of the Gang
The Gang Tries Desperately to Win an Award,Psycho Pete Returns,Old Lady House: A Situation Comedy,Old Lady House: A Situation Comedy (Callback),The Gang Beats Boggs: Ladies Reboot,Dee Day,The Gang Buys a Roller Rink,The Gang Gets Cursed
Mac and Dennis Buy a Timeshare,Charlie Work,Dee Made a Smut Film,Wolf Cola: A Public Relations Nightmare,Times Up for the Gang,The Gang Chokes,The Gang Replaces Dee With a Monkey,Frank vs. Russia
Mac Day,The Gang Spies Like U.S.,Mac & Dennis Move to the Suburbs,Making Dennis Reynolds a Murderer,The Gang Gets New Wheels,The Gang Texts,The Gang Goes to Ireland,Celebrity Booze: The Ultimate Cash Grab
The Gang Saves the Day,The Gang Misses the Boat,Being Frank,Hero or Hate Crime?,The Gang Solves the Bathroom Problem,The Janitor Always Mops Twice,The Gang's Still in Ireland,Risk E. Rat's Pizza & Amusement Center
The Gang Gets Quarantined,Mac Kills His Dad,McPoyle vs. Ponderosa: The Trial of the Century,PTSDee,The Gang Does a Clip Show,The Gang Solves Global Warming,Dee Sinks in a Bog,The Gang Goes Bowling
Flowers for Charlie,The Gang Goes on Family Fight,Charlie Catches a Leprechaun,The Gang Tends Bar,Charlie's Home Alone,Paddy's Has a Jumper,The Gang Carries a Corpse Up a Mountain,Dennis Takes a Mental Health Day
The Gang Makes Lethal Weapon 6,Frank Retires,The Gang Goes to Hell (Part 1),Dennis' Double Life,The Gang Wins the Big Game,A Woman's Right to Chop,,
The Gang Squashes Their Beefs,Ass Kickers United: Mac and Charlie Join a Cult,The Gang Goes to Hell (Part 2),Dennis Reynolds: Making a Murderer,Mac Finds His Pride,Waiting for Big Mo,,
